total_Mo,pic_intensite,ratio_actif,ratio_passif,ratio_upload,presence
-0.1277001675528853,-0.20275491133390047,-0.01672630525903023,0.018115549056765635,0.1241778747574256,0.806506192055421
-0.2749444595860386,-0.20223258701226476,-0.03848283487049462,0.0398732427265813,0.18928281935050567,-1.0896571916251343
-0.15791136423202948,-0.18540910097273644,-0.02511345024574777,0.026503142788890537,0.7944165415297327,0.32384642166400696
1.0976988740667815,1.6375213530672736,-0.017476649916056533,0.018865933860876444,0.5286255960302897,0.6887842968380028
-0.32352137180544505,-0.27290654989171853,-0.05895900040863773,0.060350500524368716,0.5119378899359609,-1.6067926599016493
1.9902599496647766,1.7442380155810195,-0.01823848681874172,0.019627811524901055,-1.3552525156671227,0.5432372263873768
-0.005597253626094498,0.07989915423818356,-0.016726305258733195,0.018115549056765635,-1.239175550450708,0.806506192055421
-0.08774431464019529,0.04289769929351092,-0.017058461190698405,0.018447722760225653,-0.40813462177699317,0.6915871991050841
-0.29432650657384474,-0.2616870234629838,-0.017255327957446675,0.018644600055588198,-0.3806970658567732,0.7656028216832673
-0.31965730331921294,-0.2672538400109055,-0.016726305297005854,0.018115549056765635,0.46676867240329206,0.806506192055421
2.72355690084347,0.30669469613383166,-0.01672837368799304,0.01811761759712144,0.2630734484195373,0.6053979543923317
0.008471744036570384,-0.01350636311885559,-0.01672630525871301,0.018115549056765635,-1.3387933671348125,0.806506192055421
-0.2692471917715505,-0.26615115533189687,-0.05895900040863773,0.06035050382118497,0.5119380455169238,-1.6067926599016493
-0.3176110080220755,-0.27073135927228453,-0.016726305283693496,0.018115549056765635,-0.3942881344124784,0.806506192055421
-0.28298147808915414,-0.256261814842261,-0.05895900040863773,0.06035050382024105,0.5250455862438186,-1.6067926599016493
-0.2941747564141868,-0.26652955028490405,-0.019856218543144486,0.021245629799283,1.2399183840676662,0.6019893401946522
-0.22460717376511502,-0.07291901362384375,-0.0038514488497684825,0.005240003790823436,-0.6902468949320234,0.26559438040987066
0.2101509349488352,-0.19954203639548357,-0.017381713452130826,0.0187709923172958,-0.7372643106187331,0.7121313766157589
-0.31129023718752685,-0.2710633253967019,-0.05895900040863773,0.06035050381163283,0.6258573194374308,-1.6067926599016493
-0.3175023075531006,-0.2706477873808228,-0.0167263052832376,0.018115549056765635,-0.40999553768911945,0.806506192055421
-0.2532452629972136,-0.2236896701450591,-0.017705309381161233,0.01909460555812215,0.5279728194106368,0.7253869029140068
-0.16007927490534676,-0.14135046408240823,-0.021846470112980066,0.023235987859705765,-0.7490905549097552,0.31566574758957605
-0.31258029291833095,-0.2501355309098317,-0.03539082328529546,0.03678106569581461,1.2597002270135689,0.31566574758957605
